date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:45	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20May%202021%2006:41:47%20GMT	https://www.facebook.com/sharer/sharer.php?u=	C:/My%20Web%20Sites/ArtOfWA/www.facebook.com/images/sharer.87076c.delayed	(from https://web.archive.org/)
16:41:47	7260/7260	------	200	untouched ('OK')	text/css	etag:W/%22wzsdm-1620501980-7260-369492983%22	https://web.archive.org/_static/css/record.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/record.css	(from https://web.archive.org/_static/css/banner-styles.css?v=wiOP2tld)
16:41:48	113970/113970	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:48%20GMT	http://archive.org/about/terms.php	C:/My%20Web%20Sites/ArtOfWA/archive.org/terms.html	(from https://web.archive.org/)
16:41:48	171343/-1	---M--	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:49%20GMT	https://openlibrary.org/	C:/My%20Web%20Sites/ArtOfWA/openlibrary.org/index.html	(from https://web.archive.org/)
16:41:48	318647/-1	---M--	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:49%20GMT	https://archive-it.org/	C:/My%20Web%20Sites/ArtOfWA/archive-it.org/index.html	(from https://web.archive.org/)
16:41:48	171013/171013	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:48%20GMT	https://www.facebook.com/login.php?next=https%3A%2F%2Fwww.facebook.com%2Fsharer%2Fsharer.php%3Fu%26ret%3Dlogin&display=popup	C:/My%20Web%20Sites/ArtOfWA/www.facebook.com/loginf2dc.html	(from https://web.archive.org/)
16:41:48	740/740	---M--	200	added ('OK')	image/svg+xml	etag:%22wzsdm-1620502014-740-1131022120%22	https://web.archive.org/_static/images/web-screenshot.svg	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/web-screenshot.svg	(from https://web.archive.org/_static/css/banner-styles.css?v=wiOP2tld)
16:41:49	0/0	------	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2005:08:00%20GMT	https://web.archive.org/web/20210227022849im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/header_2.8d.delayed	(from https://web.archive.org/web/20210227022849cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css)
16:41:50	13689/13689	---M--	200	added ('OK')	text/xml	date:Wed,%2012%20May%202021%2006:41:52%20GMT	https://web.archive.org/web/20210227020913/http://www.artofwa.com.au/?feed=rss	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexcc4d-2.html	(from https://web.archive.org/web/20210303003404/http://www.artofwa.com.au/?feed=rss)
16:41:51	29324/29324	---MC-	200	added ('OK')	image/jpeg	date:Wed,%2012%20May%202021%2006:41:52%20GMT	https://web.archive.org/web/20200328033343im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/header_2.jpg	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/header_2.jpg	(from https://web.archive.org/web/20210227022849cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css)
16:41:52	99310/99310	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8c2-183ee%22	http://archive.org/ext/components/npm/@babel/polyfill/dist/polyfill.min.js?v=445ccf86	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/polyfill.mind30a-2.js	(from https://archive.org/account/login.php)
16:41:52	5161/5161	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8f9-1429%22	http://archive.org/ext/build/js/login.min.js?v=445ccf86	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/login.mind30a.js	(from https://archive.org/account/login.php)
16:41:54	105442/105442	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:56%20GMT	https://archive.org/account/signup?referer=http%3A%2F%2Fweb.archive.org%2Fweb%2F20210303003404%2Fhttp%3A%2F%2Fartofwa.com.au%2F	C:/My%20Web%20Sites/ArtOfWA/archive.org/signup5b3c.html	(from https://archive.org/account/login.php)
16:41:54	14822/14822	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260904a3b-39e6%22	https://archive.org/components/ia-third-party-auth/ia-third-party-auth.js?v=445ccf86	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/ia-third-party-authd30a.js	(from https://archive.org/account/login.php)
16:41:56	35/35	---M--	200	added ('OK')	image/gif	etag:%22606e06b3-23%22	http://analytics.archive.org/0.gif?kind=track_js&track_js_case=control&cache_bust=635310235	C:/My%20Web%20Sites/ArtOfWA/analytics.archive.org/images/06e77.gif	(from https://archive.org/account/login.php)
16:41:56	97265/97265	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20May%202021%2006:41:57%20GMT	https://archive.org/account/forgot-password	C:/My%20Web%20Sites/ArtOfWA/archive.org/forgot-password.html	(from https://archive.org/account/login.php)
16:41:56	35/35	---M--	200	added ('OK')	image/gif	etag:%22606e06b3-23%22	http://analytics.archive.org/0.gif?kind=track_js&track_js_case=disabled&cache_bust=1391771966	C:/My%20Web%20Sites/ArtOfWA/analytics.archive.org/images/094ce.gif	(from https://archive.org/account/login.php)
16:41:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:01%20GMT	https://web.archive.org/web/20210118161030im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/favicon.ico	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/favicon-2.ico	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:41:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:01%20GMT	https://web.archive.org/web/20210118161030cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/style-2.css	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:41:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:01%20GMT	https://web.archive.org/web/20210118161030/http://www.artofwa.com.au/?feed=rss2	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexd784-2.html	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:41:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:02%20GMT	https://web.archive.org/web/20210118161030js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/custom_se-2.js	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:42:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:02%20GMT	https://web.archive.org/web/20210118161030/http://www.artofwa.com.au/?feed=rss	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexcc4d-3.html	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:42:00	6879/6879	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2012%20May%202021%2006:42:02%20GMT	https://web.archive.org/web/20210220041200js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/custom_se-2.js	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:42:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:03%20GMT	https://web.archive.org/web/20210118161030/http://www.artofwa.com.au/?feed=atom	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/index6e0a-2.html	(from https://web.archive.org/web/20210118161030/http://artofwa.com.au/)
16:42:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:03%20GMT	https://web.archive.org/web/20210227022856im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/favicon.ico	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/favicon-2.ico	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:03%20GMT	https://web.archive.org/web/20210227022856cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/style-2.css	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:03%20GMT	https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/?feed=rss2	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexd784-3.html	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:04%20GMT	https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/index.php?paged=2	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/index6146.php	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:04%20GMT	https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/?feed=rss	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexcc4d-4.html	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:04%20GMT	https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/?feed=atom	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/index6e0a-3.html	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:05%20GMT	https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/wp-login.php	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/wp-login.php	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:05%20GMT	https://web.archive.org/web/20210227022856js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/custom_se-3.js	(from https://web.archive.org/web/20210227022856/http://www.artofwa.com.au/)
16:42:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:06%20GMT	https://web.archive.org/web/20200224215758im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/favicon.ico	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/favicon-2.ico	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:05	3638/3638	---MC-	200	added ('OK')	image/x-icon	date:Wed,%2012%20May%202021%2006:42:07%20GMT	https://web.archive.org/web/20200309174256im_/http://www.artofwa.com.au/wp-content/themes/whitespace/images/favicon.ico	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/favicon-2.ico	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:08%20GMT	https://web.archive.org/web/20200224215758/http://www.artofwa.com.au/?feed=rss2	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexd784-4.html	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:08%20GMT	https://web.archive.org/web/20200224215758/http://www.artofwa.com.au/?feed=rss	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/indexcc4d-5.html	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:08%20GMT	https://web.archive.org/web/20200224215758cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/style-2.css	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:08%20GMT	https://web.archive.org/web/20200224215758/http://www.artofwa.com.au/?feed=atom	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/index6e0a-4.html	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:07	12113/12113	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2006:42:09%20GMT	https://web.archive.org/web/20200309191339cs_/http://www.artofwa.com.au/wp-content/themes/whitespace/style.css	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/style-2.css	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2012%20May%202021%2006:42:10%20GMT	https://web.archive.org/web/20200224215758js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/custom_se-3.js	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:08	6877/6877	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2012%20May%202021%2006:42:11%20GMT	https://web.archive.org/web/20200309191346js_/http://www.artofwa.com.au/wp-content/plugins/google-analytics-for-wordpress/custom_se.js	C:/My%20Web%20Sites/ArtOfWA/web.archive.org/images/custom_se-3.js	(from https://web.archive.org/web/20200224215758/http://artofwa.com.au/)
16:42:09	44154/44154	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8f9-ac7a%22	http://archive.org/ext/build/js/ia-popup.min.js?v=445ccf86	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/ia-popup.mind30a.js	(from https://archive.org/details/nlaweb)
16:42:11	110008/110008	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22609ac8c2-1adb8%22	http://archive.org/ext/build/npm/flot/jquery.flot.js?v1.1	C:/My%20Web%20Sites/ArtOfWA/archive.org/images/jquery.flot141f.js	(from https://archive.org/details/nlaweb)
